gene1	YAL001C
gene2643	YOR358W
gene2644	YOR362C
gene2645	YOR364W
gene2646	YOR365C
gene2647	YOR368W
gene2648	YOR369C
gene2649	YOR371C
gene2650	YOR373W
gene2651	YOR374W
gene2652	YOR377W
gene2653	YOR378W
gene2654	YOR379C
gene2655	YOR383C
gene2656	YOR384W
gene2657	YOR385W
gene2658	YOR386W
gene2659	YOR387C
gene2660	YOR389W
gene2661	YOR394W
gene2662	YPL002C
gene2663	YPL003W
gene2664	YPL004C
gene2665	YPL005W
gene2666	YPL006W
gene2667	YPL007C
gene2668	YPL008W
gene2669	YPL009C
gene2670	YPL013C
gene2671	YPL014W
gene2672	YPL016W
gene2673	YPL020C
gene2674	YPL026C
gene2675	YPL029W
gene2676	YPL031C
gene2677	YPL035C
gene2678	YPL037C
gene2679	YPL041C
gene2680	YPL042C
gene2681	YPL044C
gene2682	YPL047W
gene2683	YPL052W
gene2684	YPL054W
gene2685	YPL056C
gene2686	YPL057C
gene2687	YPL058C
gene2688	YPL061W
gene2689	YPL067C
gene2690	YPL068C
gene2691	YPL074W
gene2692	YPL076W
gene2693	YPL077C
gene2694	YPL081W
gene2695	YPL085W
gene2696	YPL086C
gene2697	YPL087W
gene2698	YPL090C
gene2699	YPL092W
gene2700	YPL094C
gene2701	YPL098C
gene2702	YPL100W
gene2703	YPL101W
gene2704	YPL103C
gene2705	YPL113C
gene2706	YPL114W
gene2707	YPL115C
gene2708	YPL116W
gene2709	YPL123C
gene2710	YPL124W
gene2711	YPL126W
gene2712	YPL127C
gene2713	YPL129W
gene2714	YPL132W
gene2715	YPL133C
gene2716	YPL134C
gene2717	YPL140C
gene2718	YPL141C
gene2719	YPL142C
gene2720	YPL143W
gene2721	YPL145C
gene2722	YPL146C
gene2723	YPL148C
gene2724	YPL150W
gene2725	YPL152W
gene2726	YPL153C
gene2727	YPL155C
gene2728	YPL158C
gene2729	YPL159C
gene2730	YPL162C
gene2731	YPL163C
gene2732	YPL164C
gene2733	YPL165C
gene2734	YPL166W
gene2735	YPL172C
gene2736	YPL173W
gene2737	YPL174C
gene2738	YPL180W
gene2739	YPL183C
gene2740	YPL186C
gene2741	YPL187W
gene2742	YPL188W
gene2743	YPL191C
gene2744	YPL192C
gene2745	YPL194W
gene2746	YPL198W
gene2747	YPL199C
gene2748	YPL203W
gene2749	YPL204W
gene2750	YPL205C
gene2751	YPL208W
gene2752	YPL209C
gene2753	YPL211W
gene2754	YPL212C
gene2755	YPL222W
gene2756	YPL223C
gene2757	YPL224C
gene2758	YPL226W
gene2759	YPL228W
gene2760	YPL229W
gene2761	YPL230W
gene2762	YPL231W
gene2763	YPL232W
gene2764	YPL236C
gene2765	YPL240C
gene2766	YPL241C
gene2767	YPL242C
gene2768	YPL247C
gene2769	YPL248C
gene2770	YPL249C
gene2771	YPL250C
gene2772	YPL255W
gene2773	YPL256C
gene2774	YPL257W
gene2775	YPL258C
gene2776	YPL263C
gene2777	YPL264C
gene2778	YPL265W
gene2779	YPL267W
gene2780	YPL268W
gene2781	YPL269W
gene2782	YPL272C
gene2783	YPL274W
gene2784	YPL282C
gene2785	YPL283C
gene2786	YPR001W
gene2787	YPR002W
gene2788	YPR003C
gene2789	YPR005C
gene2790	YPR006C
gene2791	YPR007C
gene2792	YPR011C
gene2793	YPR014C
gene2794	YPR015C
gene2795	YPR017C
gene2796	YPR018W
gene2797	YPR019W
gene2798	YPR020W
gene2799	YPR026W
gene2800	YPR027C
gene2801	YPR028W
gene2802	YPR040W
gene2803	YPR043W
gene2804	YPR044C
gene2805	YPR045C
gene2806	YPR046W
gene2807	YPR047W
gene2808	YPR049C
gene2809	YPR051W
gene2810	YPR052C
gene2811	YPR053C
gene2812	YPR055W
gene2813	YPR056W
gene2814	YPR061C
gene2815	YPR063C
gene2816	YPR064W
gene2817	YPR065W
gene2818	YPR066W
gene2819	YPR068C
gene2820	YPR069C
gene2821	YPR070W
gene2822	YPR071W
gene2823	YPR073C
gene2824	YPR075C
gene2825	YPR077C
gene2826	YPR078C
gene2827	YPR079W
gene2828	YPR081C
gene2829	YPR083W
gene2830	YPR084W
gene2831	YPR088C
gene2832	YPR090W
gene2833	YPR094W
gene2834	YPR095C
gene2835	YPR097W
gene2836	YPR102C
gene2837	YPR104C
gene2838	YPR106W
gene2839	YPR107C
gene2840	YPR112C
gene2841	YPR113W
gene2842	YPR115W
gene2843	YPR119W
gene2844	YPR120C
gene2845	YPR121W
gene2846	YPR122W
gene2847	YPR123C
gene2848	YPR124W
gene2849	YPR125W
gene2850	YPR128C
gene2851	YPR129W
gene2852	YPR130C
gene2853	YPR131C
gene2854	YPR134W
gene2855	YPR135W
gene2856	YPR136C
gene2857	YPR137W
gene2858	YPR141C
gene2859	YPR142C
gene2860	YPR148C
gene2861	YPR149W
gene2862	YPR150W
gene2863	YPR151C
gene2864	YPR156C
gene2865	YPR157W
gene2866	YPR158W
gene2867	YPR160W
gene2868	YPR163C
gene2869	YPR167C
gene2870	YPR168W
gene2871	YPR170C
gene2872	YPR173C
gene2873	YPR174C
gene2874	YPR175W
gene2875	YPR176C
gene2876	YPR182W
gene2877	YPR184W
gene2878	YPR185W
gene2879	YPR194C
gene2880	YPR197C
gene2881	YPR200C
gene2882	YPR202W
gene2883	YPR203W
gene2884	YPR204W
